Movie Name,Release Year,Actor 1 Age,Actor 2 Age,Actor 1 Gender,Actor 2 Gender,Age Difference,Older Actor,Avg Actor Age,Age Group,production_budget,profit,Profit (Millions),roi
The Raven,2012,46,30,man,woman,16,man,38,31–40,26000000,4601801,5,0.17699234615384615
The Wolf of Wall Street,2013,39,23,man,woman,16,man,31,31–40,100000000,289870414,290,2.89870414
Why Him?,2016,38,22,man,woman,16,man,30,31–40,38000000,79425156,79,2.0901356842105265
Why Him?,2016,38,22,man,woman,16,man,30,31–40,38000000,79425156,79,2.0901356842105265
Concussion,2015,47,32,man,woman,15,man,39.5,31–40,35000000,15363790,15,0.43896542857142856
Home Again,2017,26,41,man,woman,15,woman,33.5,31–40,15000000,22336874,22,1.4891249333333334
Silver Linings Playbook,2012,37,22,man,woman,15,man,29.5,15–30,21000000,215412453,215,10.257735857142857
The American,2010,49,34,man,woman,15,man,41.5,41–50,20000000,47950723,48,2.39753615
Fifty Shades of Black,2016,44,30,man,woman,14,man,37,31–40,5000000,17113075,17,3.422615
Ted 2,2015,44,30,man,woman,14,man,37,31–40,68000000,149214143,149,2.194325632352941
The Favourite,2018,44,30,woman,woman,14,woman,37,31–40,15000000,79113929,79,5.274261933333333
The Legend of Tarzan,2016,40,26,man,woman,14,man,33,31–40,180000000,168902025,169,0.9383445833333334
We Bought a Zoo,2011,41,27,man,woman,14,man,34,31–40,50000000,68729073,69,1.37458146
Widows,2018,42,28,man,woman,14,man,35,31–40,40000000,33866088,34,0.8466522
Aloha,2015,40,27,man,woman,13,man,33.5,31–40,37000000,-11612909,-12,-0.3138624054054054
Anna Karenina,2012,40,27,man,woman,13,man,33.5,31–40,49000000,22004627,22,0.4490740204081632
Bohemian Rhapsody,2018,37,24,man,woman,13,man,30.5,31–40,55000000,839985342,840,15.272460763636364
Bridge of Spies,2015,59,46,man,woman,13,man,52.5,51–60,40000000,122498338,122,3.06245845
Bridge of Spies,2015,59,46,man,woman,13,man,52.5,51–60,40000000,122498338,122,3.06245845
Joy,2015,38,25,man,woman,13,man,31.5,31–40,60000000,41134059,41,0.68556765
